# ************************************
# University of Crete
# Computer Science Department
# 
# CS240 - Data Structures
# Project - Phase II test file
# 
# Events:    Number:
#   R         20
#   S         5
#   T         500
#   U         2
#   D         2
#   H         1
#   L         1
#   X         3
#   Y         2
# 
# Created on: 1/4/2018, 21:25:13
# ************************************
Z 500
R 965
R 442
R 462
R 391
R 264
R 358
R 178
R 619
R 839
R 372
R 306
R 526
R 203
R 530
R 605
R 949
R 920
R 453
R 675
R 478
X
S 178 442
S 203 526
S 530 605
S 391 949
S 264 920
T 462 3004 20180401 
T 462 2954 20180427 
T 462 7021 20180427 
T 462 9245 20180417 
T 462 5862 20180418 
T 462 8114 20180428 
T 462 5199 20180402 
T 462 3385 20180421 
T 391 1463 20180407 
T 391 5145 20180413 
T 391 9805 20180413 
T 391 5859 20180422 
T 391 4216 20180409 
T 391 2004 20180427 
T 391 4468 20180411 
T 391 1592 20180413 
T 391 6062 20180429 
T 391 1710 20180413 
T 391 8400 20180419 
T 391 9609 20180412 
T 391 4520 20180426 
T 391 8598 20180414 
T 391 1913 20180416 
T 391 4561 20180405 
T 391 7346 20180427 
T 391 5999 20180422 
T 391 3472 20180403 
T 391 4524 20180420 
T 391 4367 20180416 
T 391 5276 20180424 
T 391 8637 20180417 
T 391 2525 20180413 
T 391 5023 20180408 
T 264 8447 20180409 
T 264 8641 20180425 
T 264 6822 20180408 
T 264 6584 20180416 
T 264 7128 20180423 
T 264 9936 20180403 
T 264 8873 20180422 
T 264 9396 20180414 
T 264 4434 20180407 
T 264 5733 20180424 
T 264 8557 20180428 
T 264 3487 20180410 
T 264 6937 20180404 
T 264 8702 20180426 
T 264 5824 20180410 
T 264 1697 20180412 
T 264 6151 20180429 
T 264 2328 20180407 
T 264 2500 20180424 
T 264 7394 20180427 
T 264 5410 20180422 
T 264 9319 20180412 
T 264 4613 20180427 
T 264 8157 20180425 
T 264 1584 20180410 
T 358 6006 20180429 
T 358 2992 20180426 
T 358 2975 20180428 
T 358 9618 20180403 
T 358 7392 20180416 
T 358 4405 20180425 
T 358 8715 20180430 
T 358 7429 20180401 
T 358 2530 20180428 
T 358 7956 20180428 
T 358 7558 20180409 
T 358 6255 20180421 
T 358 6651 20180431 
T 358 5593 20180414 
T 358 7916 20180418 
T 358 7700 20180411 
T 358 5319 20180430 
T 358 2416 20180422 
T 358 8624 20180404 
T 358 6017 20180419 
T 358 4107 20180415 
T 358 1936 20180402 
T 358 5237 20180409 
T 358 9466 20180408 
T 358 2391 20180421 
T 178 5562 20180423 
T 178 3902 20180405 
T 178 7515 20180426 
T 178 6023 20180416 
T 178 4673 20180410 
T 178 8355 20180428 
T 178 3417 20180431 
T 178 6289 20180404 
T 178 1806 20180412 
T 178 7059 20180422 
T 178 5642 20180401 
T 178 2478 20180420 
T 178 1703 20180420 
T 178 9045 20180401 
T 178 8911 20180402 
T 178 7194 20180412 
T 178 8083 20180401 
T 178 5687 20180416 
T 178 8593 20180403 
T 178 1031 20180408 
T 178 8386 20180405 
T 178 6852 20180425 
T 178 7550 20180424 
T 178 8965 20180403 
T 178 4954 20180419 
T 619 6456 20180415 
T 619 7729 20180408 
T 619 4445 20180404 
T 619 5994 20180409 
T 619 2517 20180408 
T 619 6831 20180430 
T 619 3286 20180406 
T 619 1880 20180408 
T 619 5231 20180411 
T 619 6664 20180410 
T 619 5409 20180409 
T 619 1776 20180407 
T 619 9742 20180410 
T 619 5365 20180418 
T 619 9230 20180430 
T 619 3721 20180405 
T 619 5310 20180422 
T 619 3347 20180402 
T 619 9525 20180414 
T 619 3494 20180419 
T 619 4465 20180417 
T 619 7875 20180427 
T 619 6661 20180401 
T 619 3896 20180431 
T 619 6768 20180419 
T 839 5218 20180429 
T 839 7291 20180422 
T 839 9697 20180421 
T 839 9951 20180414 
T 839 3026 20180429 
T 839 4549 20180417 
T 839 1449 20180428 
T 839 2915 20180410 
T 839 9165 20180405 
T 839 7661 20180406 
T 839 7796 20180404 
T 839 7441 20180417 
T 839 9792 20180411 
T 839 5776 20180410 
T 839 3911 20180406 
T 839 9204 20180425 
T 839 1830 20180419 
T 839 5308 20180402 
T 839 3530 20180415 
T 839 5591 20180416 
T 839 4442 20180429 
T 839 1304 20180414 
T 839 8002 20180408 
T 839 7687 20180422 
T 839 4660 20180415 
T 372 8828 20180406 
T 372 6477 20180419 
T 372 7129 20180419 
T 372 9373 20180407 
T 372 8958 20180408 
T 372 4451 20180425 
T 372 1414 20180415 
T 372 4659 20180417 
T 372 5810 20180422 
T 372 9982 20180402 
T 372 2747 20180412 
T 372 9544 20180408 
T 372 8316 20180423 
T 372 5272 20180418 
T 372 4715 20180428 
T 372 1354 20180409 
T 372 1390 20180421 
T 372 8814 20180423 
T 372 3100 20180425 
T 372 9427 20180404 
T 372 1472 20180410 
T 372 9223 20180404 
T 372 8160 20180410 
T 372 6610 20180411 
T 372 1073 20180420 
T 306 4374 20180407 
T 306 1019 20180411 
T 306 4871 20180426 
T 306 1465 20180429 
T 306 4340 20180415 
T 306 4694 20180424 
T 306 8468 20180402 
T 306 6541 20180418 
T 306 3626 20180413 
T 306 5415 20180413 
T 306 5201 20180426 
T 306 3909 20180418 
T 306 6455 20180420 
T 306 2700 20180430 
T 306 6864 20180426 
T 306 3800 20180427 
T 306 8313 20180420 
T 306 3557 20180420 
T 306 7185 20180406 
T 306 9989 20180405 
T 306 9778 20180413 
T 306 9092 20180425 
T 306 5208 20180416 
T 306 4235 20180424 
T 306 9362 20180427 
T 526 2520 20180413 
T 526 6945 20180416 
T 526 9654 20180409 
T 526 2221 20180405 
T 526 2827 20180425 
T 526 9649 20180416 
T 526 6771 20180424 
T 526 2348 20180429 
T 526 4611 20180426 
T 526 2029 20180413 
T 526 9900 20180403 
T 526 8283 20180428 
T 526 9054 20180409 
T 526 4626 20180408 
T 526 1327 20180411 
T 526 1942 20180407 
T 526 7554 20180424 
T 526 7277 20180422 
T 526 1289 20180426 
T 526 8563 20180408 
T 526 6585 20180425 
T 526 7745 20180409 
T 526 6176 20180428 
T 526 2686 20180431 
T 526 7627 20180410 
T 203 4388 20180423 
T 203 2672 20180420 
T 203 3579 20180415 
T 203 1147 20180417 
T 203 5492 20180411 
T 203 6811 20180422 
T 203 1691 20180413 
T 203 4617 20180424 
T 203 4988 20180408 
T 203 6464 20180422 
T 203 4677 20180414 
T 203 2060 20180431 
T 203 3945 20180410 
T 203 9641 20180402 
T 203 6462 20180411 
T 203 9986 20180417 
T 203 4621 20180409 
T 203 9867 20180413 
T 203 8435 20180416 
T 203 7906 20180415 
T 203 2699 20180427 
T 203 8946 20180419 
T 203 6498 20180411 
T 203 8434 20180407 
T 203 1041 20180422 
T 530 6641 20180414 
T 530 8197 20180419 
T 530 7838 20180404 
T 530 6136 20180426 
T 530 7406 20180429 
T 530 6512 20180423 
T 530 4869 20180401 
T 530 9959 20180413 
T 530 4903 20180426 
T 530 9096 20180407 
T 530 3642 20180403 
T 530 1407 20180406 
T 530 7113 20180421 
T 530 5525 20180416 
T 530 8868 20180416 
T 530 2685 20180416 
T 530 9459 20180431 
T 530 7298 20180403 
T 530 7141 20180417 
T 530 8234 20180419 
T 530 2224 20180416 
T 530 1177 20180405 
T 530 5587 20180414 
T 530 6261 20180411 
T 530 4011 20180425 
T 605 6624 20180414 
T 605 8478 20180425 
T 605 1921 20180416 
T 605 3739 20180419 
T 605 4252 20180426 
T 605 8155 20180427 
T 605 7765 20180425 
T 605 9767 20180415 
T 605 8866 20180421 
T 605 9775 20180422 
T 605 3217 20180404 
T 605 2728 20180409 
T 605 3358 20180422 
T 605 7310 20180427 
T 605 1298 20180402 
T 605 6691 20180421 
T 605 5128 20180415 
T 605 5137 20180418 
T 605 9553 20180424 
T 605 2519 20180410 
T 605 6182 20180430 
T 605 2568 20180411 
T 605 7713 20180405 
T 605 8012 20180420 
T 605 8245 20180424 
T 949 3681 20180402 
T 949 8788 20180416 
T 949 3858 20180404 
T 949 2726 20180401 
T 949 3025 20180402 
T 949 6458 20180428 
T 949 5618 20180403 
T 949 4086 20180403 
T 949 1180 20180404 
T 949 3187 20180411 
T 949 7145 20180407 
T 949 5555 20180401 
T 949 9575 20180421 
T 949 8106 20180418 
T 949 5136 20180417 
T 949 8837 20180416 
T 949 4684 20180412 
T 949 8457 20180417 
T 949 5974 20180427 
T 949 5598 20180425 
T 949 9115 20180404 
T 949 6949 20180413 
T 949 1035 20180416 
T 949 2865 20180404 
T 949 7589 20180417 
T 920 8144 20180430 
T 920 8238 20180428 
T 920 6345 20180415 
T 920 2435 20180405 
T 920 4021 20180421 
T 920 5925 20180422 
T 920 5491 20180403 
T 920 3244 20180411 
T 920 6355 20180401 
T 920 3233 20180423 
T 920 7193 20180421 
T 920 9097 20180422 
T 920 2369 20180404 
T 920 8228 20180428 
T 920 6816 20180419 
T 920 8410 20180422 
T 920 7437 20180413 
T 920 9956 20180406 
T 920 5957 20180405 
T 920 7122 20180407 
T 920 7483 20180424 
T 920 5155 20180403 
T 920 4234 20180416 
T 920 3835 20180403 
T 920 2593 20180431 
T 453 9744 20180427 
T 453 2172 20180403 
T 453 7051 20180401 
T 453 7524 20180409 
T 453 8541 20180413 
T 453 7036 20180418 
T 453 8270 20180421 
T 453 7599 20180412 
T 453 8189 20180408 
T 453 6221 20180415 
T 453 5153 20180410 
T 453 3190 20180429 
T 453 4306 20180419 
T 453 4708 20180422 
T 453 7071 20180419 
T 453 6944 20180421 
T 453 8116 20180423 
T 453 2177 20180425 
T 453 5047 20180413 
T 453 6788 20180427 
T 453 1638 20180407 
T 453 7066 20180423 
T 453 9367 20180402 
T 453 5820 20180406 
T 453 6516 20180401 
T 675 6762 20180429 
T 675 3322 20180418 
T 675 3527 20180427 
T 675 9779 20180430 
T 675 5817 20180418 
T 675 6613 20180406 
T 675 1207 20180413 
T 675 9155 20180405 
T 675 2976 20180412 
T 675 5987 20180427 
T 675 2998 20180420 
T 675 1533 20180428 
T 675 4256 20180431 
T 675 9359 20180428 
T 675 2509 20180417 
T 675 9208 20180426 
T 675 5096 20180406 
T 675 4342 20180423 
T 675 1277 20180411 
T 675 7292 20180418 
T 675 9203 20180411 
T 675 7727 20180429 
T 675 7635 20180421 
T 675 1796 20180430 
T 675 1086 20180420 
T 478 8378 20180408 
T 478 3408 20180428 
T 478 2149 20180420 
T 478 8811 20180402 
T 478 5742 20180402 
T 478 6384 20180414 
T 478 8592 20180402 
T 478 6481 20180407 
T 478 8104 20180420 
T 478 6056 20180416 
T 478 2853 20180415 
T 478 8303 20180430 
T 478 4671 20180418 
T 478 6463 20180416 
T 478 5551 20180420 
T 478 2250 20180411 
T 478 8635 20180413 
T 478 2840 20180431 
T 478 1324 20180403 
T 478 1292 20180418 
T 478 1973 20180420 
T 478 1017 20180430 
T 478 7157 20180419 
T 478 2499 20180415 
T 478 3258 20180423 
Y
U 530 605
U 264 920
D 619
D 478
X
H 306 20180402 20180413
L 8457
X
Y
